Id,Label,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Kilian Gross (Head of Unit),Kilian Gross (Head of Unit),commission_employee,2,8,0.217974,0.234079,1367.433409
Roberto Viola (Director-General),Roberto Viola (Director-General),commission_employee,-1,10,0.151645,0.15762,102.334349
Joachim Balke (Head of Unit),Joachim Balke (Head of Unit),commission_employee,2,8,0.183692,0.195199,1000.359233
Alexandre Paquot (Director),Alexandre Paquot (Director),commission_employee,2,9,0.181475,0.191248,86.536884
Polona Gregorin (Head of Unit),Polona Gregorin (Head of Unit),commission_employee,0,8,0.217659,0.232481,179.265743
Ingrid Bellander Todino (Head of Unit),Ingrid Bellander Todino (Head of Unit),commission_employee,2,8,0.221262,0.240262,1108.588429
Helene Bussieres (Head of Unit),Helene Bussieres (Head of Unit),commission_employee,3,9,0.190801,0.204414,789.294705
Ion Codescu (Head of Unit),Ion Codescu (Head of Unit),commission_employee,-1,8,0.192265,0.20419,31.921136
Lukasz Kolinski (Director),Lukasz Kolinski (Director),commission_employee,0,8,0.21072,0.2256,76.363597
Mark Nicklas (Head of Unit),Mark Nicklas (Head of Unit),commission_employee,0,7,0.246972,0.270898,5162.800832
Catherine Geslain-Laneelle (Director),Catherine Geslain-Laneelle (Director),commission_employee,-1,8,0.192265,0.20419,31.921136
Felix Fernandez-Shaw (Director),Felix Fernandez-Shaw (Director),commission_employee,3,7,0.25321,0.284301,21390.753538
Alexandra Vakrou (Head of Unit),Alexandra Vakrou (Head of Unit),commission_employee,1,8,0.223067,0.239854,731.201657
Valérie Drezet-Humez (Director),Valérie Drezet-Humez (Director),commission_employee,1,8,0.223067,0.239854,731.201657
Bjoern Juretzki (Head of Unit),Bjoern Juretzki (Head of Unit),commission_employee,0,8,0.21758,0.234041,1130.173827
Fotini Ioannidou (Director),Fotini Ioannidou (Director),commission_employee,-1,10,0.150809,0.156581,116.662166
Cecile Billaux (Head of Unit),Cecile Billaux (Head of Unit),commission_employee,-1,10,0.154966,0.16193,565.888106
Marco Giorello (Head of Unit),Marco Giorello (Head of Unit),commission_employee,2,7,0.252784,0.285659,24804.069627
Eddy Liegeois (Head of Unit),Eddy Liegeois (Head of Unit),commission_employee,0,8,0.225492,0.244003,2599.62154
Martin Lukas (Director),Martin Lukas (Director),commission_employee,0,9,0.210572,0.224168,495.428133
Mattias Levin (Acting Head of Unit),Mattias Levin (Acting Head of Unit),commission_employee,3,8,0.184481,0.196121,102.751823
Tatyana Panova (Head of Unit),Tatyana Panova (Head of Unit),commission_employee,3,7,0.216406,0.236579,6315.907035
Thomas Skordas (Deputy Director-General),Thomas Skordas (Deputy Director-General),commission_employee,3,8,0.204418,0.217564,2117.427536
Isabelle Perignon (Director),Isabelle Perignon (Director),commission_employee,4,8,0.203795,0.216247,169.517844
Sergio Oliete Josa (Head of Unit),Sergio Oliete Josa (Head of Unit),commission_employee,3,8,0.222079,0.243507,2911.473438
Max Lemke (Head of Unit),Max Lemke (Head of Unit),commission_employee,0,7,0.228143,0.247781,831.28139
Pierre Chastanet (Head of Unit),Pierre Chastanet (Head of Unit),commission_employee,2,8,0.20745,0.223613,3150.89389
Martin Merlin (Director),Martin Merlin (Director),commission_employee,3,8,0.207593,0.221843,832.725917
Tilman Lueder (Head of Unit),Tilman Lueder (Head of Unit),commission_employee,3,9,0.195769,0.207608,485.969483
Andrea Gavinelli (Head of Unit),Andrea Gavinelli (Head of Unit),commission_employee,-1,9,0.196537,0.210567,264.821088
Catherine Combette (Head of Unit),Catherine Combette (Head of Unit),commission_employee,-1,8,0.193439,0.206418,246.225564
Veronica Manfredi (Director),Veronica Manfredi (Director),commission_employee,0,8,0.230416,0.247339,379.107505
Mehdi Hocine (Head of Unit),Mehdi Hocine (Head of Unit),commission_employee,0,9,0.18358,0.19341,76.100213
Stefan Fuehring (Head of Unit),Stefan Fuehring (Head of Unit),commission_employee,0,7,0.225492,0.241361,213.763454
Astrid Van Mierlo (Head of Unit),Astrid Van Mierlo (Head of Unit),commission_employee,0,8,0.201339,0.214288,47.939729
Annika Kroon (Head of Unit),Annika Kroon (Head of Unit),commission_employee,0,8,0.198613,0.210545,61.313162
Benjamin Angel (Director),Benjamin Angel (Director),commission_employee,3,10,0.154846,0.160984,235.150007
Jan Panek (Director),Jan Panek (Director),commission_employee,4,9,0.170228,0.179596,600.472412
Stefano Ciccarello (Head of Unit),Stefano Ciccarello (Head of Unit),commission_employee,4,9,0.188116,0.197696,133.623699
Eva Valle Lagares (Head of Unit),Eva Valle Lagares (Head of Unit),commission_employee,0,8,0.215553,0.230358,167.403144
Matthew Baldwin (Deputy Director-General),Matthew Baldwin (Deputy Director-General),commission_employee,3,10,0.142182,0.147456,0.5
Emmanuelle Maire (Head of Unit),Emmanuelle Maire (Head of Unit),commission_employee,0,9,0.17746,0.186577,72.925838
Milena Mihaylova (Head of Unit),Milena Mihaylova (Head of Unit),commission_employee,1,8,0.190017,0.199399,70.258632
Matthias Petschke (Director),Matthias Petschke (Director),commission_employee,0,8,0.209765,0.222121,433.691217
Luis Carazo Jimenez (Head of Unit),Luis Carazo Jimenez (Head of Unit),commission_employee,-1,8,0.195071,0.207229,305.130793
Philippe Lamberts (Principal Adviser),Philippe Lamberts (Principal Adviser),commission_employee,1,8,0.241227,0.264076,7569.693589
Renate Nikolay (Deputy Director-General),Renate Nikolay (Deputy Director-General),commission_employee,2,8,0.211016,0.225358,459.60515
