name,party,country,norm_name
Vilija BLINKEVIČIŪTĖ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lithuania,VILIJA BLINKEVIČIŪTĖ
Rachel BLOM,Patriots for Europe Group,Netherlands,RACHEL BLOM
Michael BLOSS,Group of the Greens/European Free Alliance,Germany,MICHAEL BLOSS
Tobiasz BOCHEŃSKI,European Conservatives and Reformists Group,Poland,TOBIASZ BOCHEŃSKI
Damian BOESELAGER,Group of the Greens/European Free Alliance,Germany,DAMIAN BOESELAGER
Ioan-Rareş BOGDAN,Group of the European People's Party (Christian Democrats),Romania,IOAN-RAREŞ BOGDAN
Stefano BONACCINI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,STEFANO BONACCINI
Barbara BONTE,Patriots for Europe Group,Belgium,BARBARA BONTE
Paolo BORCHIA,Patriots for Europe Group,Italy,PAOLO BORCHIA
Mireia BORRÁS PABÓN,Patriots for Europe Group,Spain,MIREIA BORRÁS PABÓN
Zsuzsanna BORVENDÉG,Europe of Sovereign Nations Group,Hungary,ZSUZSANNA BORVENDÉG
Biljana BORZAN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Croatia,BILJANA BORZAN
Gordan BOSANAC,Group of the Greens/European Free Alliance,Croatia,GORDAN BOSANAC
Irmhild BOẞDORF,Europe of Sovereign Nations Group,Germany,IRMHILD BOẞDORF
Stine BOSSE,Renew Europe Group,Denmark,STINE BOSSE
Marc BOTENGA,The Left group in the European Parliament - GUE/NGL,Belgium,MARC BOTENGA
Gilles BOYER,Renew Europe Group,France,GILLES BOYER
Lynn BOYLAN,The Left group in the European Parliament - GUE/NGL,Ireland,LYNN BOYLAN
Helmut BRANDSTÄTTER,Renew Europe Group,Austria,HELMUT BRANDSTÄTTER
Marie-Luce BRASIER-CLAIN,Patriots for Europe Group,France,MARIE-LUCE BRASIER-CLAIN
Grzegorz BRAUN,Non-attached Members,Poland,GRZEGORZ BRAUN
Krzysztof BREJZA,Group of the European People's Party (Christian Democrats),Poland,KRZYSZTOF BREJZA
Saskia BRICMONT,Group of the Greens/European Free Alliance,Belgium,SASKIA BRICMONT
Nikolina BRNJAC,Group of the European People's Party (Christian Democrats),Croatia,NIKOLINA BRNJAC
Joachim Stanisław BRUDZIŃSKI,European Conservatives and Reformists Group,Poland,JOACHIM STANISŁAW BRUDZIŃSKI
Anna BRYŁKA,Patriots for Europe Group,Poland,ANNA BRYŁKA
Markus BUCHHEIT,Europe of Sovereign Nations Group,Germany,MARKUS BUCHHEIT
Tomasz BUCZEK,Patriots for Europe Group,Poland,TOMASZ BUCZEK
Daniel BUDA,Group of the European People's Party (Christian Democrats),Romania,DANIEL BUDA
Waldemar BUDA,European Conservatives and Reformists Group,Poland,WALDEMAR BUDA
Borys BUDKA,Group of the European People's Party (Christian Democrats),Poland,BORYS BUDKA
Sebastião BUGALHO,Group of the European People's Party (Christian Democrats),Portugal,SEBASTIÃO BUGALHO
Andrzej BUŁA,Group of the European People's Party (Christian Democrats),Poland,ANDRZEJ BUŁA
Udo BULLMANN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,UDO BULLMANN
Delara BURKHARDT,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,DELARA BURKHARDT
Jorge BUXADÉ VILLALBA,Patriots for Europe Group,Spain,JORGE BUXADÉ VILLALBA
Petr BYSTRON,Europe of Sovereign Nations Group,Germany,PETR BYSTRON
Jaroslav BŽOCH,Patriots for Europe Group,Czechia,JAROSLAV BŽOCH
Mélissa CAMARA,Group of the Greens/European Free Alliance,France,MÉLISSA CAMARA
Pascal CANFIN,Renew Europe Group,France,PASCAL CANFIN
Nina CARBERRY,Group of the European People's Party (Christian Democrats),Ireland,NINA CARBERRY
Gheorghe CÂRCIU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Romania,GHEORGHE CÂRCIU
Damien CARÊME,The Left group in the European Parliament - GUE/NGL,France,DAMIEN CARÊME
David CASA,Group of the European People's Party (Christian Democrats),Malta,DAVID CASA
Daniel CASPARY,Group of the European People's Party (Christian Democrats),Germany,DANIEL CASPARY
Benoit CASSART,Renew Europe Group,Belgium,BENOIT CASSART
Laurent CASTILLO,Group of the European People's Party (Christian Democrats),France,LAURENT CASTILLO
Pilar DEL CASTILLO VERA,Group of the European People's Party (Christian Democrats),Spain,PILAR DEL CASTILLO VERA
Anna CAVAZZINI,Group of the Greens/European Free Alliance,Germany,ANNA CAVAZZINI
Stefano CAVEDAGNA,European Conservatives and Reformists Group,Italy,STEFANO CAVEDAGNA
